Trade_Time;open;high;low;close;VOL;VB;VS;Delta_Vol;OI;doi;yurl_l;dyl;yurl_s;dys;yurl_l_num;yurl_s_num;fiz_l;fyl;fiz_s;fys
2022-07-21 17:55:00;109890.0;109930.0;109630.0;109770.0;898;317;581;-264;96300.0;-132.0;21385.0;0.0;4198.0;-78.0;23.0;36.0;26765.0;-66.0;43952.0;12.0
2022-07-21 18:00:00;109790.0;110030.0;109770.0;110000.0;614;364;250;114;96106.0;-194.0;21328.0;-57.0;4121.0;-77.0;22.0;36.0;26725.0;-40.0;43932.0;-20.0
2022-07-21 18:05:00;109980.0;110360.0;109980.0;110300.0;821;512;309;203;95773.0;-333.0;21258.0;-70.0;3993.0;-128.0;22.0;36.0;26629.0;-96.0;43893.0;-39.0
2022-07-21 18:10:00;110300.0;110390.0;110140.0;110370.0;539;186;353;-167;95600.0;-173.0;21248.0;-10.0;3832.0;-161.0;21.0;36.0;26552.0;-77.0;43968.0;75.0
2022-07-21 18:15:00;110370.0;110500.0;110290.0;110300.0;707;278;429;-151;95208.0;-392.0;21222.0;-26.0;3673.0;-159.0;21.0;37.0;26382.0;-170.0;43931.0;-37.0
2022-07-21 18:20:00;110340.0;110370.0;110250.0;110340.0;564;129;435;-306;94830.0;-378.0;21206.0;-16.0;3567.0;-106.0;20.0;37.0;26209.0;-173.0;43848.0;-83.0
2022-07-21 18:25:00;110340.0;110440.0;110340.0;110350.0;399;159;240;-81;94684.0;-146.0;21159.0;-47.0;3503.0;-64.0;21.0;38.0;26183.0;-26.0;43839.0;-9.0
2022-07-21 18:30:00;110340.0;110390.0;110150.0;110370.0;1138;700;438;262;93774.0;-910.0;21151.0;-8.0;3399.0;-104.0;21.0;38.0;25736.0;-447.0;43488.0;-351.0
2022-07-21 18:35:00;110320.0;110440.0;110250.0;110400.0;785;337;448;-111;93442.0;-332.0;21188.0;37.0;3407.0;8.0;21.0;38.0;25532.0;-204.0;43315.0;-173.0
2022-07-21 18:40:00;110390.0;110890.0;110380.0;110840.0;1624;1152;472;680;92746.0;-696.0;21158.0;-30.0;3286.0;-121.0;20.0;38.0;25215.0;-317.0;43087.0;-228.0
2022-07-21 18:45:00;110870.0;110900.0;110670.0;110820.0;776;246;530;-284;92746.0;0.0;21158.0;0.0;3286.0;0.0;20.0;38.0;25215.0;0.0;43087.0;0.0
2022-07-21 19:05:00;110860.0;111100.0;110380.0;110880.0;740;385;355;30;92746.0;0.0;21158.0;0.0;3286.0;0.0;20.0;38.0;25215.0;0.0;43087.0;0.0
2022-07-21 19:10:00;110890.0;111040.0;110700.0;110750.0;339;213;126;87;92746.0;0.0;21158.0;0.0;3286.0;0.0;20.0;38.0;25215.0;0.0;43087.0;0.0
2022-07-21 19:15:00;110770.0;110770.0;110220.0;110360.0;674;182;492;-310;92746.0;0.0;21158.0;0.0;3286.0;0.0;20.0;38.0;25215.0;0.0;43087.0;0.0
2022-07-21 19:20:00;110350.0;110410.0;110080.0;110290.0;435;179;256;-77;92746.0;0.0;21158.0;0.0;3286.0;0.0;20.0;38.0;25215.0;0.0;43087.0;0.0
